"Comment","Designator","Footprint","LCSC Part #"
"100n","C101,C102,C103,C104,C106,C107,C108,C109,C110,C111,C112,C113,C114,C115,C116,C117,C118,C119,C120,C123,C124,C125,C126,C127,C128,C129,C130,C131,C201,C202,C203,C205,C206,C207,C208,C209,C210,C211,C214,C215,C216,C217,C218,C219,C220,C223,C224,C225,C226,C227,C228,C229,C230,C231","C_0402_1005Metric","C1525"
"220n","C105,C121,C122,C221,C222","C_0402_1005Metric","C16772"
"1N4148","D102,D103,D104,D105,D106,D107,D108,D110,D111,D112,D113,D114,D115,D116,D118,D119,D120,D121,D122,D123,D124,D202,D203,D204,D205,D206,D207,D208,D210,D211,D212,D213,D214,D215,D216,D218,D219,D220,D221,D222,D223,D224","D_SOD-323","C2128"
"WS2812B_2020","D126,D127,D128,D129,D130,D131,D132,D135,D136,D137,D138,D139,D140,D141,D142,D143,D144,D145,D146,D147,D148,D226,D227,D228,D229,D230,D231,D232,D235,D236,D237,D238,D239,D240,D241,D242,D243,D244,D245,D246,D247,D248","LED_WS2812B-2020_PLCC4_2.0x2.0mm","C965555"
"AudioJack4","J101,J201","Jack_3.5mm_PJ320D_Horizontal","C431535"
"4.7k","R108,R109,R110,R111,R112,R116,R117,R118,R122,R123,R124,R125,R210,R211,R212,R222,R223,R224,R225","R_0402_1005Metric","C25900"
"Encoder","SW122","RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm_CircularMountingHoles","C470753"
"SW_SPST","SW123,SW124,SW223,SW224","SW_PUSH-12mm","C93155"
"AT24C256C-SSHL-T","U102,U202","SOIC-8_3.9x4.9mm_P1.27mm","C6482"
"TXB0102DCU","U103,U203","VSSOP-8_2.4x2.1mm_P0.5mm","C2677366"
