Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C101,100,C_0402_1005Metric,216.625000,-56.750000,90.000000,top
C102,100,C_0402_1005Metric,221.045000,-44.000000,180.000000,top
C103,100,C_0402_1005Metric,221.105000,-46.500000,180.000000,top
C104,100,C_0402_1005Metric,253.125000,-60.000000,0.000000,top
C105,220,C_0402_1005Metric,258.625000,-72.500000,0.000000,top
C106,100,C_0402_1005Metric,106.375000,-72.020000,-90.000000,top
C107,100,C_0402_1005Metric,123.875000,-71.730000,-90.000000,top
C108,100,C_0402_1005Metric,143.985000,-61.750000,-90.000000,top
C109,100,C_0402_1005Metric,168.875000,-52.000000,-90.000000,top
C110,100,C_0402_1005Metric,189.125000,-56.750000,-90.000000,top
C111,100,C_0402_1005Metric,208.875000,-56.700000,-90.000000,top
C112,100,C_0402_1005Metric,219.375000,-103.890000,0.000000,top
C113,100,C_0402_1005Metric,253.125000,-66.640000,180.000000,top
C114,100,C_0402_1005Metric,113.125000,-92.020000,-90.000000,top
C115,100,C_0402_1005Metric,131.125000,-92.000000,-90.000000,top
C116,100,C_0402_1005Metric,151.125000,-82.000000,-90.000000,top
C117,100,C_0402_1005Metric,176.125000,-71.750000,-90.000000,top
C118,100,C_0402_1005Metric,196.125000,-77.020000,-90.000000,top
C119,100,C_0402_1005Metric,216.375000,-77.230000,-90.000000,top
C120,100,C_0402_1005Metric,242.625000,-112.750000,-90.000000,top
C121,220,C_0402_1005Metric,259.125000,-89.250000,0.000000,top
C122,220,C_0402_1005Metric,253.395000,-81.500000,180.000000,top
C123,100,C_0402_1005Metric,110.625000,-92.020000,-90.000000,top
C124,100,C_0402_1005Metric,128.625000,-92.000000,-90.000000,top
C125,100,C_0402_1005Metric,148.625000,-82.000000,-90.000000,top
C126,100,C_0402_1005Metric,173.625000,-71.770000,-90.000000,top
C127,100,C_0402_1005Metric,193.625000,-77.020000,-90.000000,top
C128,100,C_0402_1005Metric,213.875000,-77.250000,-90.000000,top
C129,100,C_0402_1005Metric,261.125000,-122.770000,-90.000000,top
C130,100,C_0402_1005Metric,243.900000,-96.400000,-90.000000,top
C131,100,C_0402_1005Metric,250.800000,-93.780000,90.000000,top
C201,100,C_0402_1005Metric,110.100000,-137.050000,0.000000,top
C202,100,C_0402_1005Metric,110.150000,-134.450000,0.000000,top
C203,100,C_0402_1005Metric,110.030000,-145.350000,0.000000,top
C205,100,C_0402_1005Metric,110.420000,-180.250000,0.000000,top
C206,100,C_0402_1005Metric,120.760000,-132.950000,-90.000000,top
C207,100,C_0402_1005Metric,136.900000,-133.150000,-90.000000,top
C208,100,C_0402_1005Metric,157.150000,-128.042164,-90.000000,top
C209,100,C_0402_1005Metric,182.400000,-138.270000,-90.000000,top
C210,100,C_0402_1005Metric,202.650000,-148.150000,-90.000000,top
C211,100,C_0402_1005Metric,220.150000,-148.070000,-90.000000,top
C214,100,C_0402_1005Metric,89.200000,-189.350000,180.000000,top
C215,100,C_0402_1005Metric,123.650000,-153.020000,-90.000000,top
C216,100,C_0402_1005Metric,143.900000,-152.892164,-90.000000,top
C217,100,C_0402_1005Metric,163.900000,-147.770000,-90.000000,top
C218,100,C_0402_1005Metric,188.900000,-158.000000,-90.000000,top
C219,100,C_0402_1005Metric,208.900000,-168.250000,-90.000000,top
C220,100,C_0402_1005Metric,226.650000,-167.520000,-90.000000,top
C221,220,C_0402_1005Metric,76.120000,-137.750000,0.000000,top
C222,220,C_0402_1005Metric,76.120000,-140.350000,0.000000,top
C223,100,C_0402_1005Metric,72.650000,-199.020000,-90.000000,top
C224,100,C_0402_1005Metric,121.250000,-153.060000,-90.000000,top
C225,100,C_0402_1005Metric,141.300000,-152.892164,-90.000000,top
C226,100,C_0402_1005Metric,161.500000,-147.770000,-90.000000,top
C227,100,C_0402_1005Metric,186.500000,-158.000000,-90.000000,top
C228,100,C_0402_1005Metric,206.300000,-168.250000,-90.000000,top
C229,100,C_0402_1005Metric,224.050000,-167.440000,-90.000000,top
C230,100,C_0402_1005Metric,87.400000,-184.900000,-90.000000,top
C231,100,C_0402_1005Metric,94.200000,-185.600000,-90.000000,top
D102,1N4148,D_SOD-323,103.125000,-72.000000,-90.000000,top
D103,1N4148,D_SOD-323,120.625000,-71.750000,-90.000000,top
D104,1N4148,D_SOD-323,140.625000,-61.750000,-90.000000,top
D105,1N4148,D_SOD-323,165.625000,-52.000000,-90.000000,top
D106,1N4148,D_SOD-323,185.625000,-56.750000,-90.000000,top
D107,1N4148,D_SOD-323,205.625000,-56.615000,-90.000000,top
D108,1N4148,D_SOD-323,215.875000,-103.500000,0.000000,top
D110,1N4148,D_SOD-323,103.875000,-91.750000,-90.000000,top
D111,1N4148,D_SOD-323,121.625000,-92.000000,-90.000000,top
D112,1N4148,D_SOD-323,141.625000,-82.000000,-90.000000,top
D113,1N4148,D_SOD-323,166.625000,-71.750000,-90.000000,top
D114,1N4148,D_SOD-323,186.625000,-76.765000,-90.000000,top
D115,1N4148,D_SOD-323,206.625000,-77.500000,-90.000000,top
D116,1N4148,D_SOD-323,235.375000,-113.500000,0.000000,top
D118,1N4148,D_SOD-323,105.875000,-91.750000,90.000000,top
D119,1N4148,D_SOD-323,123.625000,-92.000000,90.000000,top
D120,1N4148,D_SOD-323,143.625000,-82.000000,90.000000,top
D121,1N4148,D_SOD-323,168.625000,-71.750000,90.000000,top
D122,1N4148,D_SOD-323,188.625000,-76.765000,90.000000,top
D123,1N4148,D_SOD-323,208.625000,-77.500000,90.000000,top
D124,1N4148,D_SOD-323,254.625000,-123.500000,180.000000,top
D126,WS2812B_2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,108.125000,-57.250000,0.000000,top
D127,WS2812B_2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,126.125000,-57.250000,0.000000,top
D128,WS2812B_2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,146.125000,-47.250000,0.000000,top
D129,WS2812B_2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,171.125000,-37.250000,0.000000,top
D130,WS2812B_2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,191.125000,-42.250000,0.000000,top
D131,WS2812B_2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,211.125000,-42.250000,0.000000,top
D132,WS2812B_2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,219.875000,-107.250000,0.000000,top
D135,WS2812B_2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,108.210000,-77.250000,0.000000,top
D136,WS2812B_2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,126.125000,-77.250000,0.000000,top
D137,WS2812B_2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,146.125000,-67.250000,0.000000,top
D138,WS2812B_2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,171.125000,-57.250000,0.000000,top
D139,WS2812B_2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,191.125000,-62.250000,0.000000,top
D140,WS2812B_2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,211.125000,-62.250000,0.000000,top
D141,WS2812B_2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,240.125000,-117.250000,0.000000,top
D142,WS2812B_2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,108.125000,-97.250000,0.000000,top
D143,WS2812B_2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,126.125000,-97.250000,0.000000,top
D144,WS2812B_2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,146.125000,-87.250000,0.000000,top
D145,WS2812B_2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,171.125000,-77.250000,0.000000,top
D146,WS2812B_2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,191.125000,-82.250000,0.000000,top
D147,WS2812B_2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,211.125000,-82.250000,0.000000,top
D148,WS2812B_2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,260.200000,-127.275000,0.000000,top
D202,1N4148,D_SOD-323,105.100000,-178.100000,0.000000,top
D203,1N4148,D_SOD-323,117.650000,-133.000000,-90.000000,top
D204,1N4148,D_SOD-323,133.650000,-133.150000,-90.000000,top
D205,1N4148,D_SOD-323,153.900000,-128.000000,-90.000000,top
D206,1N4148,D_SOD-323,179.150000,-138.250000,-90.000000,top
D207,1N4148,D_SOD-323,199.150000,-148.150000,-90.000000,top
D208,1N4148,D_SOD-323,216.900000,-148.070000,-90.000000,top
D210,1N4148,D_SOD-323,85.000000,-189.350000,0.000000,top
D211,1N4148,D_SOD-323,117.400000,-153.000000,-90.000000,top
D212,1N4148,D_SOD-323,134.650000,-153.000000,-90.000000,top
D213,1N4148,D_SOD-323,156.650000,-148.000000,-90.000000,top
D214,1N4148,D_SOD-323,181.650000,-158.000000,-90.000000,top
D215,1N4148,D_SOD-323,201.000000,-168.450000,-90.000000,top
D216,1N4148,D_SOD-323,219.650000,-167.750000,-90.000000,top
D218,1N4148,D_SOD-323,68.715000,-199.750000,0.000000,top
D219,1N4148,D_SOD-323,115.000000,-153.000000,90.000000,top
D220,1N4148,D_SOD-323,136.650000,-153.000000,90.000000,top
D221,1N4148,D_SOD-323,154.650000,-148.000000,90.000000,top
D222,1N4148,D_SOD-323,179.650000,-158.000000,90.000000,top
D223,1N4148,D_SOD-323,198.650000,-168.450000,90.000000,top
D224,1N4148,D_SOD-323,217.650000,-167.750000,90.000000,top
D226,WS2812B_2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,110.000000,-183.350000,0.000000,top
D227,WS2812B_2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,119.200000,-118.350000,0.000000,top
D228,WS2812B_2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,139.000000,-118.350000,0.000000,top
D229,WS2812B_2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,159.000000,-113.350000,0.000000,top
D230,WS2812B_2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,184.000000,-123.350000,0.000000,top
D231,WS2812B_2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,204.000000,-133.350000,0.000000,top
D232,WS2812B_2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,222.000000,-133.350000,0.000000,top
D235,WS2812B_2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,90.000000,-193.350000,0.000000,top
D236,WS2812B_2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,119.000000,-138.350000,0.000000,top
D237,WS2812B_2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,139.000000,-138.350000,0.000000,top
D238,WS2812B_2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,159.000000,-133.350000,0.000000,top
D239,WS2812B_2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,184.085000,-143.300000,0.000000,top
D240,WS2812B_2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,204.000000,-153.350000,0.000000,top
D241,WS2812B_2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,222.000000,-153.350000,0.000000,top
D242,WS2812B_2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,70.000000,-203.350000,0.000000,top
D243,WS2812B_2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,119.000000,-158.350000,0.000000,top
D244,WS2812B_2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,139.000000,-158.350000,0.000000,top
D245,WS2812B_2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,159.000000,-153.350000,0.000000,top
D246,WS2812B_2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,184.000000,-163.350000,0.000000,top
D247,WS2812B_2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,204.000000,-173.350000,0.000000,top
D248,WS2812B_2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,222.000000,-173.350000,0.000000,top
J101,AudioJack4,Jack_3.5mm_PJ320D_Horizontal,264.545000,-45.000000,-90.000000,top
J201,AudioJack4,Jack_3.5mm_PJ320D_Horizontal,65.580000,-121.000000,90.000000,top
R108,4.7000000000000002,R_0402_1005Metric,256.115000,-48.700000,180.000000,top
R109,4.7000000000000002,R_0402_1005Metric,256.115000,-50.000000,180.000000,top
R110,4.7000000000000002,R_0402_1005Metric,223.615000,-104.000000,0.000000,top
R111,4.7000000000000002,R_0402_1005Metric,243.875000,-112.740000,90.000000,top
R112,4.7000000000000002,R_0402_1005Metric,258.375000,-122.750000,90.000000,top
R116,4.7000000000000002,R_0402_1005Metric,253.125000,-57.500000,0.000000,top
R117,4.7000000000000002,R_0402_1005Metric,253.365000,-79.500000,0.000000,top
R118,4.7000000000000002,R_0402_1005Metric,253.125000,-64.250000,180.000000,top
R122,4.7000000000000002,R_0402_1005Metric,267.125000,-72.010000,90.000000,top
R123,4.7000000000000002,R_0402_1005Metric,253.365000,-85.500000,0.000000,top
R124,4.7000000000000002,R_0402_1005Metric,248.865000,-101.900000,0.000000,top
R125,4.7000000000000002,R_0402_1005Metric,248.865000,-100.500000,0.000000,top
R210,4.7000000000000002,R_0402_1005Metric,110.200000,-139.600000,180.000000,top
R211,4.7000000000000002,R_0402_1005Metric,110.150000,-132.050000,180.000000,top
R212,4.7000000000000002,R_0402_1005Metric,110.000000,-147.750000,0.000000,top
R222,4.7000000000000002,R_0402_1005Metric,76.200000,-148.900000,180.000000,top
R223,4.7000000000000002,R_0402_1005Metric,76.200000,-160.950000,180.000000,top
R224,4.7000000000000002,R_0402_1005Metric,96.890000,-181.250000,0.000000,top
R225,4.7000000000000002,R_0402_1005Metric,96.890000,-178.150000,0.000000,top
SW122,Encoder,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm_CircularMountingHoles,256.750000,-60.000000,0.000000,top
SW123,SW_SPST,SW_PUSH-12mm,257.885000,-77.750000,0.000000,top
SW124,SW_SPST,SW_PUSH-12mm,257.875000,-95.750000,0.000000,top
SW223,SW_SPST,SW_PUSH-12mm,59.760000,-153.750000,0.000000,top
SW224,SW_SPST,SW_PUSH-12mm,59.760000,-171.750000,0.000000,top
U102,AT24C256C-SSHL-T,SOIC-8_3.9x4.9mm_P1.27mm,241.875000,-101.000000,270.000000,top
U103,TXB0102DCU,VSSOP-8_2.4x2.1mm_P0.5mm,247.900000,-96.100000,-90.000000,top
U202,AT24C256C-SSHL-T,SOIC-8_3.9x4.9mm_P1.27mm,91.000000,-177.750000,270.000000,top
U203,TXB0102DCU,VSSOP-8_2.4x2.1mm_P0.5mm,90.700000,-185.200000,-90.000000,top
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
